club,date,country,League,Tier
MC Oran,2003-12-20,Algeria,Ligue Professionnelle 1,Tier 2
AS Beauvais,2009-02-04,France,French Football League Division D3,Tier 4
Cracovia,2006-10-02,Poland,Ekstraklasa,Tier 1
Legia Warszawa,1999-06-30,Poland,Ekstraklasa,Tier 1
FC Rouen 1899,2021-05-28,France,Ligue 2,Tier 3
Eu FC,2007-06-30,England,Europa League,Tier 2
Grand-Quevilly,2023-01-19,France,CFA (French football league),Tier 4
Pacy Ménilles,2007-06-30,France,CFA2,Tier 4
FC Rouen B,2000-06-30,France,Ligue 2,Tier 3
ASA Issy,2011-06-30,France,Ligue de Football Amateur,Tier 5
Schiltigheim,2022-03-22,France,Ligue 3,Tier 4
SC Lyon,2021-12-23,France,Ligue 1,Tier 2
Frontignan,2005-06-30,France,Ligue 2,Tier 2
FC Sète 34,2009-06-30,France,Ligue 2,Tier 2
FC Sète 34,1986-12-31,France,Ligue 1,Tier 2
Tours FC U19,2019-02-28,France,Ligue National 1 Under 19,Tier 3
AEL Limassol,2013-06-30,Cyprus,Cypriot First Division,Tier 4
Tours FC,2017-03-27,France,Ligue 2,Tier 2
FC Sion,2010-06-30,Switzerland,Super League,Tier 2
Vannes,2021-11-08,France,Coupe de France,Tier 2
CA Bastia,2016-06-30,France,Ligue 2,Tier 2
Legnano,2008-06-30,Italy,Serie C,Tier 3
Cercle Brugge,1995-06-30,Belgium,First Division,Tier 1
Estudiantes,1940-04-06,Argentina,Argentine Primera División,Tier 1
Genoa C.F.C.,1932-06-30,Italy,Italian Football Championship,Tier 1
Paris FC,2013-06-30,France,Ligue 2,Tier 2
Ecommoy FC,1997-06-30,Côte d'Ivoire,Ligue I,Tier 1
Club Africain,2010-04-08,Tunisia, Tunisian Ligue 1,Tier 4
AS Lyon-Duchère,2021-12-23,France,Ligue 2,Tier 3
RC Lons-le-Saunier,1996-06-30,France,Ligue 1,Tier 2
Bourg-Péronnas,1991-11-30,France,French Third Division,Tier 3
Quevilly,2014-09-08,France,National,Tier 3
CMS Oissel,2017-06-30,France,French National Division,Tier 3
Jura Sud,2009-06-30,France,Ligue Féminine de Football,Tier 3
Le Mans UC 72,2011-12-21,France,Ligue 2,Tier 3
FC Istres,2004-06-30,France,Ligue 2,Tier 1
Pro Patria,2011-06-30,Italy,Serie C2,Tier 3
USL Dunkerque,1998-06-30,Belgium,First Division,Tier 1
Pescara,2017-02-14,Italy,Serie B,Tier 2
Ternana,1999-01-26,Italy,Serie C,Tier 3
Parma,2022-05-17,Italy,Serie A,Tier 3
Udinese Calcio,2015-06-04,Italy,Serie A,Tier 1
Vicenza,2016-03-14,Italy,Serie C,Tier 3
Arezzo,2005-06-30,Italy,Serie C2,Tier 3
Ancona,2004-06-30,Italy,Serie C,Tier 3
Pordenone,1976-06-30,Italy,Serie C,Tier 3
Newell's,2011-04-10,Argentina,Argentine Primera División,Tier 1
Pro Patria,2007-04-17,Italy,Serie C2,Tier 4
Udinese U17,1999-06-30,Italy,Serie A,Tier 1
Genoa,2005-06-30,Italy,Serie A,Tier 1
SSC Napoli,2023-06-30,Italy,Serie A,Tier 1
AC Venezia 1907,1995-04-10,Italy,Serie C1,Tier 3
Lazio,2002-06-30,Italy,Serie A,Tier 1
Padova,1999-06-30,Italy,Serie C1,Tier 3
FC Sion,2008-06-30,Switzerland,Challenge League,Tier 2
Lecce,1992-01-18,Italy,Serie B,Tier 2
Genoa,1990-06-30,Italy,Serie A,Tier 1
Reggina,1981-06-30,Italy,Serie B,Tier 2
Campobasso,1986-03-30,Italy,Serie C2,Tier 4
Calcio Monza,1994-06-30,Italy,Serie C2,Tier 3
Lecce,1993-11-20,Italy,Serie C1,Tier 2
Jamaica,2007-11-09,Jamaica,CONCACAF Championship,Tier 4
Udinese,1988-06-30,Italy,Serie A,Tier 1
Cagliari Calcio,1991-10-08,Italy,Serie A,Tier 1
Triestina,1990-12-30,Italy,Serie C1,Tier 2
Perugia,1986-03-17,Italy,Serie A,Tier 1
Milan,1981-06-15,Italy,Serie A,Tier 1
Cremonese,1992-06-30,Italy,Serie B,Tier 3
Bologna,1977-01-09,Italy,Serie A,Tier 1
Udinese,1980-06-30,Italy,Serie A,Tier 1
Prato,1987-06-30,Italy,Serie C2,Tier 4
Udinese U19,1988-06-30,Italy,Serie C1,Tier 2
Alessandria,1971-06-30,Italy,Serie C,Tier 3
Atalanta,1963-06-30,Italy,Serie A,Tier 1
Lazio,1953-03-17,Italy,Serie A,Tier 1
Switzerland,1967-12-23,Switzerland,European Championship,Tier 1
Hellas Verona,1960-09-26,Italy,Serie A,Tier 1
Sampdoria,1957-02-18,Italy, Serie A,Tier 1
SPAL,1936-06-30,Italy,Serie A,Tier 1
Livorno,1926-06-30,Italy,Italian Serie A,Tier 2
Ascoli,2017-06-01,Italy,Serie C,Tier 4
AC Siena,2009-11-23,Italy,Serie B,Tier 2
Rondinella,2001-06-30,Italy,Serie C1,Tier 3
Teramo,2019-07-01,Italy,Serie C,Tier 3
Cosenza,2021-06-30,Italy,Serie C,Tier 3
Reggina Primaver,2001-06-30,Italy,Serie B,Tier 2
Castrovillari,1997-06-30,Italy,Serie C2,Tier 3
Reggina,2011-06-09,Italy,Serie B,Tier 2
Parma,2004-12-13,Italy,Serie A,Tier 1
Reggina,2013-12-03,Italy,Serie B,Tier 2
Pescara,2019-06-30,Italy,Serie C,Tier 3
Varese,2015-03-09,Italy,Serie C1,Tier 3
Man City,2013-05-15,England,Premier League,Tier 1
Pescara,2004-05-16,Italy,Serie C,Tier 3
Reggina,2008-03-03,Italy,Serie B,Tier 2
AC Parma,2001-10-31,Italy,Serie A,Tier 1
Catanzaro,2005-10-30,Italy,Serie C1,Tier 3
Bari,1986-06-30,Italy,Serie C,Tier 4
Lecce,2013-06-30,Italy,Serie B,Tier 2
SC Leffe,1995-06-30,Belgium,Third Division,Tier 4
Bologna,1987-04-14,Italy,Serie A,Tier 1
Vibonese,2005-06-30,Italy,Serie D,Tier 4
Gladiator,2003-06-30,Italy,Serie A,Tier 2
Reggina,1992-06-30,Italy,Serie C1,Tier 3
Catania,2002-11-12,Italy,Serie C,Tier 3
Taranto,1993-06-30,Italy,Serie C1,Tier 3
Nissa FC,1974-06-30,Soviet Union,Soviet Top League,Tier 1
Monopoli,1990-06-30,Italy,Serie C,Tier 3
Genoa,1997-09-29,Italy,Serie A,Tier 2
Avellino,1989-06-30,Italy,Serie C1,Tier 3
Sansepolcro,1981-06-30,Italy,Serie C,Tier 3
Perugia,1973-01-07,Italy,Serie A,Tier 1
Siracusa,1949-06-30,Italy,Italian Serie C,Tier 3
Reggina,1959-06-30,Italy,Serie C,Tier 3
AC Vicenza,1953-01-19,Italy,Serie C,Tier 2
Besiktas,1962-04-03,Turkey,Süper Lig,Tier 1
Fiorentina,2019-04-09,Italy,Serie A,Tier 1
Inter,2017-05-09,Italy,Serie A,Tier 1
Bologna,2014-01-07,Italy,Serie A,Tier 1
Brescia,2017-03-12,Italy,Serie B,Tier 2
AS Roma,1989-02-19,Italy,Serie A,Tier 1
Milan,1966-03-07,Italy,Serie A,Tier 1
Inter,1984-06-30,Italy,Serie A,Tier 1
Milan,1977-06-30,Italy,Serie A,Tier 1
Milan,1973-06-30,Italy,Serie A,Tier 1
Triestina,1997-10-06,Italy,Serie C2,Tier 4
Cesena,1997-02-01,Italy,Serie B,Tier 2
Milan,1977-02-06,Italy,Serie A,Tier 1
Ternana,1977-03-14,Italy,Serie C1,Tier 3
Modena,1955-11-08,Italy,Serie C,Tier 2
Milan,1958-06-30,Italy,Serie A,Tier 1
FC Porto,1959-11-01,Portugal,Primeira Liga,Tier 1
Padova,1950-04-26,Italy,Serie C,Tier 3
AC Torino,1938-06-30,Italy,Serie A,Tier 1
Bologna,1942-06-30,Italy,Serie A,Tier 1
Genoa CFC,1937-06-30,Italy,Italian Serie A,Tier 1
Messina,1940-06-30,Italy,Serie A,Tier 1
Pavia,1938-06-30,Italy,Serie C,Tier 3
Vigevano,1937-06-30,Italy,Serie C,Tier 3
Hungária FC,1922-07-01,Hungary,NB I,Tier 1
Italy,1948-08-05,Italy,Serie A,Tier 1
Milan,19/24-06-30,Italy,Serie A,Tier 1
Pescara,2008-06-09,Italy,Serie B,Tier 2
AC Milan,2019-06-30,Italy,Serie A,Tier 1
Torino,2010-01-10,Italy,Serie A,Tier 1
Saronno,1997-06-30,Italy,Italian Serie C2,Tier 3
Viterbese,2000-06-30,Italy,Serie C,Tier 3
Triestina,2010-06-26,Italy,Serie B,Tier 2
Genoa,1997-06-30,Italy,Serie A,Tier 1
Triestina,2003-06-30,Italy,Serie C,Tier 4
Torino,2003-06-30,Italy,Serie A,Tier 2
Napoli,2004-06-30,Italy,Serie A,Tier 1
Empoli,1989-05-15,Italy,Serie A,Tier 1
UC AlbinoLeffe,2011-01-29,Italy,Serie C,Tier 3
Cosenza,2002-05-06,Italy,Serie C1,Tier 3
Torino,1994-06-30,Italy,Serie A,Tier 1
Lazio,2012-06-02,Italy,Serie A,Tier 1
Catania,2003-04-06,Italy,Serie B,Tier 2
Vicenza,2001-06-22,Italy,Serie B,Tier 2
Lucchese,1995-01-23,Italy,Serie C2,Tier 3
Tritium,2013-01-29,Belgium,Eerste Klasse,Tier 1
Avellino,1983-06-30,Italy,Serie C1,Tier 2
Ancona,1989-06-30,Italy,Serie C1,Tier 3
Bologna,1984-06-30,Italy,Serie A,Tier 1
Cesena,1979-06-30,Italy,Serie C1,Tier 3
Ravenna,1958-06-30,Italy,Serie A,Tier 1
Genoa,1952-02-17,Italy,Serie A,Tier 1
AC Torino,1958-06-30,Italy,Serie A,Tier 1
Monza FBC,1954-11-15,Italy,Italian League,Tier 1
Cesena,1948-06-30,Italy,Serie B,Tier 2
Triestina,1965-11-22,Italy,Serie C,Tier 2
Monza FBC,1953-11-23,Italy,Serie A,Tier 1
ASG Nocerina,19/06/1930,Italy,Serie C,Tier 3
Pro Vercelli,1948-06-30,Italy,Serie B,Tier 2
Casale,1928-06-30,Italy,Italian Football Championship,Tier 2
Torino,1933-05-21,Italy,Serie A,Tier 1
Torino,1931-06-30,Italy,Serie A,Tier 2
Reggiana,1926-01-04,Italy,Italian Football Championship,Tier 1
Arezzo,2022-02-04,Italy,Serie C,Tier 3
Avellino,20/04/2024,Italy,Lega Pro,Tier 2
Como,2016-03-13,Italy,Serie B,Tier 2
Foggia,2011-06-10,Italy,Serie C,Tier 3
Red Star,2008-09-07,Serbia,SOFARAK,Tier 2
Fenerbahce,2000-01-12,Turkey,Süper Lig,Tier 1
US Palermo Yout,1983-06-30,Italy,Serie C,Tier 2
Bologna,2014-06-30,Italy,Serie A,Tier 1
Genoa,2011-06-04,Italy,Serie A,Tier 1
Parma,2015-06-22,Italy,Serie A,Tier 2
AS Livorno,2003-06-30,Italy,Serie B,Tier 2
Padova,2018-11-04,Italy,Serie C,Tier 3
Avellino,2016-05-31,Italy,Serie C,Tier 3
Südtirol,2003-06-30,Italy,Serie C2,Tier 4
Ternana,2001-06-30,Italy,Serie C1,Tier 3
Pro Sesto,2009-04-27,Italy,Serie D,Tier 4
Bari,1995-12-04,Italy,Serie B,Tier 2
Cagliari Calcio,2001-03-01,Italy,Serie A,Tier 1
AC Pisa,1989-06-30,Italy,Serie C1,Tier 2
Pescara,1990-12-02,Italy,Serie C,Tier 3
Ascoli,1969-06-30,Italy,Serie C,Tier 3
Genoa,1992-11-09,Italy,Serie A,Tier 1
Pescara,1982-01-11,Italy,Serie C,Tier 3
AC Pisa,1975-06-30,Italy,Serie C,Tier 3
Reggiana,1984-06-30,Italy,Serie C,Tier 3
Taranto,1983-06-30,Italy,Serie B,Tier 2
Vicenza,1965-06-30,Italy,Serie C,Tier 3
AS Roma,2017-06-30,Italy,Serie A,Tier 1
Inter,1995-09-25,Italy,Serie A,Tier 1
Napoli U19,1985-06-30,Italy,Serie C1,Tier 2
Lecce,1994-11-15,Italy,Serie B,Tier 2
Bari,1950-06-30,Italy,Serie B,Tier 2
AS Roma,1949-06-30,Italy,Serie A,Tier 1
Ascoli,2020-12-22,Italy,Serie C,Tier 3
Atalanta BC,2005-06-30,Italy,Serie A,Tier 1
Juventus,1986-06-30,Italy,Serie A,Tier 1
FC Kamza,2018-06-01,Albania,Kategoria Superiore,Tier 2
Fiorentina,1978-01-30,Italy,Serie A,Tier 1
Fiorentina,1977-06-30,Italy,Serie A,Tier 1
Bologna,1979-01-09,Italy,Serie A,Tier 1
Legnano,1944-06-30,Italy,Serie C,Tier 3
Ghiviborgo,2023-06-27,Italy,Serie C,Tier 2
Piacenza,2022-05-20,Italy,Serie C,Tier 3
Borgo S.Donnino,2020-06-30,Italy,Serie D,Tier 4
Lecco,2022-05-11,Italy,Serie C,Tier 3
Alzano Cene,2015-01-05,Italy,Serie D,Tier 4
Potenza SC,2009-10-22,Italy,Serie C,Tier 3
Ascoli U19,2005-06-08,Italy,Serie C1,Tier 2
Ascoli,20/06/30,Italy,Serie C,Tier 3
Fiorenzuola,2011-06-30,Italy,Serie C,Tier 3
UC AlbinoLeffe,2013-12-27,Italy,Serie B,Tier 2
Catanzaro,2016-10-20,Italy,Serie C,Tier 3
Mantova,2009-06-30,Italy,Serie D,Tier 4
Brescia,2017-06-30,Italy,Serie B,Tier 2
AS Livorno,2021-02-14,Italy,Serie C,Tier 3
Piacenza,2003-02-03,Italy,Serie C1,Tier 2
Pistoiese,2000-06-30,Italy,Serie C1,Tier 3
Carrarese,2013-11-05,Italy,Lega Pro,Tier 2
Andoria,2005-06-30,Italy,Serie B,Tier 2
Benevento,2002-06-30,Italy,Serie B,Tier 2
Piacenza,1990-06-30,Italy,Serie C1,Tier 3
Bari,2002-12-29,Italy,Serie B,Tier 3
Perugia,1997-10-19,Italy,Serie B,Tier 2
Lazio U19,1992-06-30,Italy,Serie C1,Tier 3
Piacenza,1988-12-06,Italy,Serie C1,Tier 2
Bari,1979-06-30,Italy,Serie C,Tier 3
AC Pisa,1979-10-28,Italy,Serie C,Tier 3
Piacenza,1981-06-30,Italy,Italian Serie B,Tier 2
Alense,1972-06-30,Denmark,Danish 1st Division,Tier 3
Legnano,1973-06-30,Italy,Serie C,Tier 2
AC Siena,1964-06-30,Italy,Serie C,Tier 2
Inter,1957-06-30,Italy,Serie A,Tier 1
Fanfulla,1941-06-30,Italy,Serie C,Tier 2
Piacenza,1948-06-30,Italy,Serie B,Tier 2
Atalanta,1993-06-30,Italy,Serie A,Tier 1
Inter,2004-07-01,Italy,Serie A,Tier 1
Inter U19,1987-06-30,Italy,Serie C,Tier 3
Inter U19,1985-06-30,Italy,Serie C1,Tier 2
Inter,1960-03-07,Italy,Serie A,Tier 1
Inter,1955-12-26,Italy,Serie A,Tier 1
Pro Patria,1951-06-30,Italy,Serie C,Tier 2
Besiktas,1948-06-30,Turkey,Turkish Football Championship,Tier 1
Como,1963-06-30,Italy,Serie B,Tier 2
Prato,1950-06-30,Italy,Serie C,Tier 4
Imolese,2005-06-30,Italy,Serie C,Tier 3
Castelvetro,2017-10-24,Italy,Serie D,Tier 4
Novara,1974-06-30,Italy,Serie C,Tier 2
Parma,1958-06-30,Italy,Serie A,Tier 1
EC Bahia,1968-12-31,Brazil,Serie A (Brazil),Tier 1
Juventus,1949-02-20,Italy,Serie A,Tier 1
Juventus,1942-06-30,Italy,Serie A,Tier 1
Juventus,1940-10-27,Italy,Serie A,Tier 1
Juventus U23,20/07/17,Italy,Serie C,Tier 3
Brescia,2019-12-02,Italy,Serie B,Tier 2
US Sassuolo You,2018-07-03,Italy,Serie C,Tier 2
Parma,2016-12-03,Italy,Serie A,Tier 1
LR Vicenza,2021-09-22,Italy,Serie C,Tier 3
Italy,1996-06-30,Italy,Serie A,Tier 1
Carrarese,1997-06-30,Italy,Serie C2,Tier 3
Carrarese,2000-06-30,Italy,Serie C1,Tier 4
Empoli,1991-06-30,Italy,Serie A,Tier 2
Novara,1996-12-03,Italy,Serie C,Tier 3
Virescit,1991-06-30,Italy,Serie C2,Tier 3
Palermo,1984-06-30,Italy,Serie A,Tier 2
Spezia,1973-06-30,Italy,Serie C,Tier 2
Rimini,1979-03-04,Italy,Serie C,Tier 3
Venezia,2022-11-07,Italy,Serie A,Tier 1
Mantova,2016-03-14,Italy,Serie C,Tier 4
Imolese,2019-06-26,Italy,Serie C,Tier 3
AC Pisa,2015-08-20,Italy,Serie C,Tier 3
Torres,2023-03-19,Spain,La Liga,Tier 1
Treviso,2012-07-17,Italy,Serie C,Tier 3
Luparense,2020-02-04,Italy,Serie C,Tier 3
Luparense,2019-06-07,Italy,Serie D,Tier 4
Collecchio,1996-06-30,Italy,Serie C2,Tier 3
Spezia,2010-09-20,Italy,Serie B,Tier 2
Brindisi,2022-06-30,Italy,Serie D,Tier 4
Ascoli,2008-10-21,Italy,Serie C,Tier 3
Cosenza,2010-06-30,Italy,Serie C,Tier 3
Maldonado,2008-01-19,Uruguay,Primera División,Tier 1
Messina Peloro,2003-04-30,Italy,Serie C,Tier 4
SPAL,2002-10-07,Italy,Serie B,Tier 3
Como,1999-11-08,Italy,Serie B,Tier 2
Salernitana,1989-06-30,Italy,Serie C,Tier 3
Taranto,2005-06-30,Italy,Serie C,Tier 3
Savona,1971-06-30,Italy,Italian Serie C,Tier 3
Mestre,1985-06-30,Brazil,Serie C2,Tier 3
Treviso,1982-06-30,Italy,Serie C,Tier 3
CPR Ospitaletto,1995-06-30,Italy,Serie D,Tier 4
Calcio Venezia,1983-06-30,Italy,Serie C1,Tier 2
Pordenone,1989-06-30,Italy,Serie C2,Tier 3
Modena,1974-06-30,Italy,Serie A,Tier 1
SPAL,1972-06-30,Italy,Serie A,Tier 1
Acireale,1960-06-30,Italy,Serie C,Tier 3
Taranto,1955-06-30,Italy,Italian Serie A,Tier 1
Fanfulla,1950-06-30,Italy,Serie C,Tier 3
AC Venezia,1949-10-10,Italy,Serie A,Tier 1
Hellas Verona,2019-05-01,Italy,Serie A,Tier 1
Mantova,2023-06-15,Italy,Serie D,Tier 4
AS Rom Youth,2004-06-30,Italy,Serie A,Tier 1
Avellino,2007-07-16,Italy,Serie C,Tier 3
Hellas Verora,1972-06-30,Italy,Serie A,Tier 1
Hellas Verona,1962-06-30,Italy,Serie A,Tier 1
Vigevano,1959-01-18,Italy,Serie C,Tier 3
Palermo,1966-06-30,Italy,Serie A,Tier 1
Verona,1955-02-01,Italy,Serie A,Tier 1
Hellas,19/24-06-30,Greece,Super League Greece,Tier 2
Juventus U19,2019-06-30,Italy,U19 League,Tier 2
Imolese,2017-05-26,Italy,Serie C,Tier 3
Castel Rigone,2013-03-25,Italy,Serie C2,Tier 4
Foligno U19,2010-12-13,Italy,Serie C1,Tier 3
Empoli,2019-11-12,Italy,Serie A,Tier 2
Sassuolo,2017-11-27,Italy,Serie A,Tier 1
Perugia,2017-06-19,Italy,Serie B,Tier 3
Torres,2015-06-30,Spain,La Liga,Tier 1
Valenzana,2006-06-01,Spain,Segunda División B,Tier 3
Poggibonsi,1985-06-30,Italy,Serie C1,Tier 3
Perugia,2008-01-21,Italy,Serie B,Tier 2
Avellino,2005-03-27,Italy,Serie B,Tier 2
Paganese,2017-08-28,Italy,Serie C,Tier 4
Salernitana,2009-11-01,Italy,Serie B,Tier 2
Ferentino,2002-06-30,Italy,Serie C1,Tier 3
Cassino,2009-06-30,Italy,Serie C1,Tier 3
Andria,2002-06-30,Italy,Serie C1,Tier 3
Cesena,2001-06-30,Italy,Serie C1,Tier 3
Perugia,1974-06-30,Italy,Serie C,Tier 3
Catanzaro,1965-06-30,Italy,Serie B,Tier 2
Robur Siena,2019-05-20,Italy,Serie C,Tier 3
Bari,2021-06-17,Italy,Serie C,Tier 3
Matera,2018-06-30,Italy,Serie C,Tier 4
Viterbese,2017-03-20,Italy,Serie D,Tier 4
Triestina,2020-11-30,Italy,Serie C,Tier 4
Potenza SC,2008-11-17,Italy,Serie C,Tier 3
AS Gubbio,2022-06-17,Italy,Serie C,Tier 4
Salernitana,2016-02-02,Italy,Serie B,Tier 2
Cremonese,2014-03-11,Italy,Serie B,Tier 3
FC Crotone,2007-06-26,Italy,Serie B,Tier 2
Fermana,2006-01-23,Italy,Serie C1,Tier 3
Legnano,2005-04-17,Italy,Serie C1,Tier 4
Giarre,1991-06-30,Italy,Serie C2,Tier 3
Sampdoria,1975-06-30,Italy,Serie A,Tier 1
Casale,1988-06-30,Italy,Serie C,Tier 3
SPAL,1983-06-30,Italy,Serie A,Tier 1
Novara,1975-06-30,Italy,Serie C,Tier 3
Lecce,1968-06-30,Italy,Serie B,Tier 2
Martina,1982-06-30,Netherlands,Eredivisie,Tier 1
Barletta,1972-06-30,Italy,Serie C,Tier 3
Bari,1970-06-30,Italy,Serie B,Tier 2
Bari,1965-06-30,Italy,Serie B,Tier 2
Bari,1956-06-30,Italy,Serie C,Tier 3
Bari,1943-06-30,Italy,Serie C,Tier 2
Bari,1951-02-18,Italy,Serie C,Tier 4
Bari,1951-01-14,Italy,Serie C,Tier 2
Bari,1942-06-30,Italy,Serie B,Tier 3
Lecce Giovanili,2013-06-30,Italy,Serie C,Tier 4
Crociati Noceto,2003-06-30,Italy,Serie D,Tier 4
Lecce,2011-06-30,Italy,Serie B,Tier 2
Turris,2022-10-25,Italy,Serie C,Tier 4
Foggia,2000-06-30,Italy,Serie C1,Tier 3
Pontedera,1997-06-30,Italy,Serie C2,Tier 3
Italy U21,2020-10-14,Italy,UEFA European Under-21 Championship,Tier 1
Lazio,2015-02-04,Italy,Serie A,Tier 1
AS Gubbio,2018-03-21,Italy,Serie D,Tier 4
Viterbese,2017-02-21,Italy,Serie C,Tier 3
Casarano,2010-12-06,Italy,Serie C2,Tier 4
Alghero,2007-06-30,Italy,Serie C2,Tier 4
Lecce,2009-06-30,Italy,Serie B,Tier 2
Foggia,1985-06-30,Italy,Serie C1,Tier 3
Ravenna,1970-06-30,Italy,Serie C,Tier 2
Modena,1968-01-15,Italy,Serie C,Tier 3
Lazio U19,2004-06-30,Italy,Serie C,Tier 2
Viterbese,1997-06-30,Italy,Serie C2,Tier 4
Messina,1964-06-30,Italy,Serie A,Tier 1
Arezzo,1961-06-30,Italy,Serie C,Tier 3
Modena,1940-06-30,Italy,Serie C,Tier 3
Vicenza,1989-06-30,Italy,Serie C,Tier 3
Livorno,1986-06-30,Italy,Serie C1,Tier 3
AC Pisa,1983-10-10,Italy,Serie C2,Tier 4
Cavese,1986-06-30,Italy,Serie C,Tier 2
NK Zagreb,1946-06-30,Croatia,Prva HNL,Tier 1
Brescia,2018-09-18,Italy,Serie B,Tier 2
Cagliari Calcio,2015-04-20,Italy,Serie A,Tier 1
Porto,2010-06-30,Portugal,Primeira Liga,Tier 1
FC Voluntari,2020-01-06,Romania,Liga I,Tier 1
Pescara,2013-03-03,Italy,Serie B,Tier 2
Brescia U19,2012-06-30,Italy,Serie C,Tier 3
Brescia U19,2011-06-30,Italy,Serie C,Tier 3
Brescia,1998-06-30,Italy,Serie B,Tier 2
Ravenna,2008-01-14,Italy,Serie C,Tier 3
Montevarchi,1986-06-30,Italy,Serie C2,Tier 3
Ternana,1970-01-04,Italy,Serie C,Tier 2
Brescia,1959-02-15,Italy,Serie B,Tier 2
Fanfulla,1954-06-30,Italy,Serie C,Tier 2
Cremonese U19,1999-06-30,Italy,Serie C,Tier 3
Legnano,1986-06-30,Italy,Serie C,Tier 2
Fanfulla,1981-06-30,Italy,Serie C,Tier 3
Atalanta,1976-06-30,Italy,Serie A,Tier 1
Avellano,1977-04-12,Italy,Serie B,Tier 2
Atalanta,1938-06-30,Italy,Serie A,Tier 1
Renate,2021-06-03,Netherlands,Eredivisie,Tier 2
Treviso U19,2002-06-30,Italy,Serie D,Tier 4
Pescara,2023-02-27,Italy,Serie B,Tier 2
Pistoiese,2022-01-25,Italy,Serie D,Tier 4
Viterbese,2018-11-07,Italy,Serie C,Tier 4
Vicenza,2005-06-30,Italy,Serie B,Tier 2
Vicenza,2005-03-27,Italy,Serie B,Tier 2
ASG Nocerina,2007-03-12,Italy,Serie C1,Tier 3
Benevento,2006-06-30,Italy,Serie B,Tier 2
Ladilla La Latina,2003-01-27,Spain,Segunda División B,Tier 2
AC Vicenza,1947-09-28,Italy,Serie B,Tier 2
Aversa Norm.,1934-06-30,Italy,Serie C,Tier 3
Santarcangelo,2017-06-30,Italy,Italian Lega Pro,Tier 2
Pavia,2015-12-13,Italy,Serie D,Tier 4
Juventus,2011-06-30,Italy,Serie A,Tier 1
Chievo Youth,1994-06-30,Italy,Serie C1,Tier 2
Ravenna,1991-06-30,Italy,Serie C2,Tier 3
Vigevano Jun.,2008-06-30,Italy,Serie C1,Tier 2
Campodarsego,2016-06-30,Italy,Serie D,Tier 4
Ternana,2020-07-14,Italy,Serie C,Tier 3
Avellino U19,2004-06-30,Italy,Serie C1,Tier 3
Ascoli,2008-12-07,Italy,Serie B,Tier 2
Milan U19,1992-06-30,Italy,Serie A Junior,Tier 1
Viterbese,2008-02-05,Italy,Serie C1,Tier 3
Novara,2002-06-30,Italy,Serie C1,Tier 3
Cerveteri,1994-06-30,Italy,Serie C1,Tier 3
Foggia,2020-06-30,Italy,Serie C,Tier 4
Como,1996-12-31,Italy,Serie C1,Tier 3
Matera,1981-06-30,Italy,Serie C2,Tier 3
Sampdoria,1966-06-30,Italy,Italian Serie A,Tier 1
Empoli,2010-06-05,Italy,Serie A,Tier 2
Ischia,2014-01-20,Italy,Serie D,Tier 5
Frosinone,2011-06-30,Italy,Serie B,Tier 2
Cavese,2007-06-28,Italy,Serie C2,Tier 3
Empoli,2006-06-30,Italy,Serie A,Tier 2
SPAL,2006-06-30,Italy,Serie A,Tier 2
Cesena,2000-06-18,Italy,Serie C,Tier 3
Vis Pesaro,1989-06-30,Italy,Serie C1,Tier 3
Val di Sangro,2004-06-30,Italy,Serie C2,Tier 3
Gualdo,2002-06-30,Italy,Serie C1,Tier 3
AS Gubbio,2000-04-23,Italy,Serie C,Tier 3
Mantova,1985-06-30,Italy,Serie C,Tier 2
Treviso,1948-03-29,Italy,Serie B,Tier 2
Siracusa,2018-06-30,Italy,Serie C,Tier 3
Mestre,2018-07-04,Portugal,Segunda Divisão,Tier 3
Modena,2019-05-26,Italy,Serie C,Tier 4
Taranto,2026-06-30,Italy,Serie C,Tier 3
ASG Nocerina,2003-02-24,Italy,Serie D,Tier 4
Vis Pesaro,2020-02-18,Italy,Serie C,Tier 3
Modena,2016-03-26,Italy,Serie C,Tier 3
Parma FC Youth,2005-06-30,Italy,Serie C,Tier 3
Iperzola,1995-06-30,Spain,La Liga,Tier 1
SPAL,1982-06-30,Italy,Serie C,Tier 3
Reggiana,1977-06-30,Italy,Serie C,Tier 3
Anconitana,1972-06-30,Italy,Serie C,Tier 3
Modena,1950-06-30,Italy,Serie B,Tier 2
Sampdoria,2022-01-19,Italy,Serie A,Tier 1
Cuoio Cappiano,1989-06-30,Italy,Serie C1,Tier 2
Savona,1984-06-30,Italy,Serie C2,Tier 3
Pianese,2021-04-13,Italy,Serie C,Tier 3
Imolese,2016-06-30,Italy,Serie C,Tier 3
Juventus U19,2009-05-18,Italy,Serie C,Tier 3
Versilia 1998,2004-06-30,Italy,Serie C,Tier 3
Viterbese,2008-12-31,Italy,Serie C1,Tier 2
Ancona,2014-06-30,Italy,Serie C,Tier 3
Osimana,2008-06-30,France,Ligue 2,Tier 3
Ternana,2006-02-17,Italy,Serie C1,Tier 2
Ancona,1998-06-30,Italy,Serie C1,Tier 3
Viterbese,2010-06-30,Italy,Serie C1,Tier 3
Maceratese,2022-11-01,Italy,Serie C,Tier 3
Fabriano,2018-01-23,Italy,Serie D,Tier 4
Vicofertile,20/4/2030,Portugal,Primeira Liga,Tier 1
Brescello,2002-06-30,Italy,Serie C1,Tier 4
